german,english,hungarian,type,⍨,,
"r Kopfhörer,~",headphone; earphone,fejhallgató; fülhallgató,noun,2014-10-06,,
"e Kranke,~n",sick person,"beteg (nő, illetlen!)",noun,2014-05-01,,
"r Kranker, Kranken",sick person,"beteg (férfi/semleges, illetlen!)",noun,2014-05-01,,
"s Kreuz,~e",cross,kereszt,noun,2014-05-01,,
"r Krieger,~",warrior,katona,noun,2014-10-14,,
"r Kroate,~n",Croatian (male),cseh (férfi),noun,2014-10-16,,
"s Kroatien,-",Croatia,Csehország,noun,2014-10-16,,
"e Kroatin,~nen",Croatian (female),cseh (nő),noun,2014-10-16,,
"s Kroatisch,~e",Croatian,cseh,noun,2014-10-16,,
"e Kro­ket­te,~n","croquette, croquet",krokett,noun,2014-05-01,,
"r Kumpel,~",buddy (colloquial),haver (informális),noun,2014-08-20,,
"s Kunstwerk,~e",artwork,műalkotás,noun,2014-05-01,,
e Kupfer,copper,réz,noun,2014-10-06,,
"e Lage,~n","situation, proximity","helyzet, szituáció; fekvés (pl. házé)",noun,2014-10-01,,
"e Landenbahn,~en","runway, airstrip",leszálló pálya,noun,2014-05-01,,
"e Landschaft,~en",landscape,"táj, tájkép",noun,2014-05-01,,
"r Laptop,~s",laptop (IT),"laptop, notebook",noun,2014-10-06,,
"r Lastwagen,⍨","truck, semi",kamion,noun,2014-05-01,,
"s Latein,-",latin,latin,noun,2014-05-09,,
"s Laufwerk,~e",driver,meghajtó (IT),noun,2014-10-06,,
"e Leertaste,~n",spacebar,szóköz billentyű,noun,2014-10-06,,
"e Leertaste,~n","spacebar; space (print, computer)",szóköz; szóköz billentyű,noun,2014-09-03,,
"e Leiter,~n",ladder,létra,noun,2014-05-01,,
"s Lenkrad,⍨er",steering wheel,kormány (jármű),noun,2014-05-01,,
"r Link,~s",link,link (IT),noun,2014-10-06,,
"r Lohn,⍨",wage,bér (munkás),noun,2014-05-01,,
"e Lücke,~n",gap,"rés, luk, lyuk",noun,2014-06-04,,
"s Luxembourg,-",Luxembourg,Luxembourg,noun,2014-10-16,,
"r Luxemburger,~",Luxembourger (male),luxembourgi (férfi),noun,2014-10-16,,
"e Luxemburgerin,~nen",Luxembourger (female),luxembourgi (nő),noun,2014-10-16,,
"s Luxemburgisch,~e",Luxembourger,luxembourgi,noun,2014-10-16,,
"s Mädel,~",chick (colloquial),csaj (informális),noun,2014-08-31,,
"s Mädel,~s",gal,csaj,noun,2014-05-01,,
"e Mail,~s",email,email,noun,2014-10-06,,
"r Meerespiegel,-",sea level,tengerszint,noun,2014-09-23,,
"s Meeting,~s",meeting,"meeting, tárgyalás",noun,2014-08-24,,
e Menüführung,navigation menü,navigációs menü,noun,2014-10-06,,
"r Mexikaner,~",Mexican (male),mexikói (férfi),noun,2014-10-16,,
"e Mexikanerin,~nen",Mexican (female),mexikói (nő),noun,2014-10-16,,
"s Mexikanisch,~e",Mexican,mexikói,noun,2014-10-16,,
"s Mexiko,-",Mexico,Mexikó,noun,2014-10-16,,
"r Mindestlohn,⍨e",minimum wage,minimálbér,noun,2014-05-01,,
"r Mineralstoff,~e","mineral, mineral supplement",ásványianyag,noun,2014-05-01,,
"s Missgeschick,~e",mishap,baleset,noun,2014-05-01,,
"r Mist,-",manure ,"ganéj, (francba!)",noun,2014-05-01,,
"e Mittagspauze,~n",lunch break,ebédszünet,noun,2014-10-10,,
s Mittel,agent (chemical); drug (medical); resource; tool for sth.,anyag; szer; gyógyszer; javak; eszköz vmihez (átv),noun,2014-08-24,,
"s Mittel,~","agent, appliance",eszköz; segédanyag,noun,2014-05-01,,
"s Modem,~s",modem,modem,noun,2014-10-06,,
"e Möglichkeit,~en",opportunity,lehetőség,noun,2014-05-01,,
"e Monierzange,~n",pincer,harapófogó,noun,2014-08-04,,
"r Monitor,~en",monitor,monitor,noun,2014-10-06,,
"e Möwe,~n",seagull,sirály,noun,2014-10-02,,
"s Muf­fen­sau­sen,-",fear,félelem,noun,2014-08-24,,
"r Museumgänger,~",museum goer,múzeumbajáró,noun,2014-08-31,,
"s Muster,~n",example,minta,noun,2014-05-01,,
" Mut,-","courage, guts",bátorság,noun,2014-08-06,,
"e Nachricht,~en",message,üzenet,noun,2014-08-03,,
"e Nachrichten,!",news,hír,noun,2014-05-01,,
"r Nachteil,~e",disadvantage;,hátrány,noun,2014-08-24,,
"r Nacken,~",neck,nyak,noun,2014-05-12,,
"s Nadelkissen,~",pin cushion,tűpárna,noun,2014-05-01,,
"s Nagetier,~e","rodent, gnawer",rágcsáló,noun,2014-08-06,,
"r Nährstoff,~e",nutrient,tápanyag,noun,2014-05-01,,
"e Nässe,!",wet,nedvesség,noun,2014-05-01,,
"e Natter,~n",colubrid (a common kind of snake),sikló,noun,2014-10-14,,
"r Nebel,~","fog, mist, haze; nebula (astronomy)",köd,noun,2014-08-24,,
"s Netzwerk,~e",network,hálózat,noun,2014-10-06,,
"s Neugeborene,~n",newborn,újszülött,noun,2014-08-20,,
"s Neuseeland,-",New Zealand,Új-Zéland,noun,2014-10-16,,
"r Neuseeländer,~",New Zealander (male),új-zélandi (férfi),noun,2014-10-16,,
"e Neuseeländerin,~nen",New Zealander (female),új-zélandi (nő),noun,2014-10-16,,
"s Neuseeländisch,~e",New Zealander,új-zélandi,noun,2014-10-16,,
"e News,-",news,hír,noun,2014-10-06,,
"e Newsgroup,~s",newsgroup,hírcsoport,noun,2014-10-06,,
"r Newsletter,~",newsletter,hírlevél,noun,2014-10-06,,
"e Nichte,~n",niece,unokahúg,noun,2014-08-11,,
"e Niederlande,- (pl)",Netherlands,Hollandia,noun,2014-10-16,,
"r Niederländer,~",Dutchman,holland (férfi),noun,2014-10-16,,
"e Niederländerin,~nen",Dutchwoman,holland (nő),noun,2014-10-16,,
"s Niederländisch,~e",Dutch,holland,noun,2014-10-16,,
"s Niveau,~s",level,"szint (tudás, nyelvtudás, tenger, stb), színvonal",noun,2014-09-23,,
"r Norden,-",north,észak,noun,2014-05-01,,
"s Norwegen,-",Norway,Norvégia,noun,2014-10-16,,
"r Norweger,~",Norwegian (male),norvég (férfi),noun,2014-10-16,,
"e Norwegerin,~nen",Norwegian (female),norvég (nő),noun,2014-10-16,,
"s Norwegisch,~e",Norwegian,norvég,noun,2014-10-16,,
"s Notebook,~s",notebook,notebook,noun,2014-10-06,,
"e Nuss,⍨e",nut,anyacsavar,noun,2014-08-04,,
"s Opfer,~",sacrifice; victim; casualty,áldozat; sérült; halott,noun,2014-10-15,,
"r Osten,-",east,kelet,noun,2014-05-01,,
"s Österreich,-",Austria,Ausztria,noun,2014-10-16,,
"r Österreicher,~",Austrian (male),ausztria (férfi),noun,2014-10-16,,
"e Österreicherin,~nen",Austrian (female),ausztria (nő),noun,2014-10-16,,
"s Österreichisch,~e",Austrian,ausztria,noun,2014-10-16,,
"e Panne,~n",breakdown,műszaki hiba,noun,2014-05-01,,
"s Paradies,~e",paradise,paradicsom,noun,2014-05-01,,
"r Park,~s/~e/⍨e",park,park,noun,2014-05-01,,
"s Parkhaus,⍨e","parking garage, multi-storey car park",parkoló ház,noun,2014-05-01,,
"e Pasta,-",pasta,tészta,noun,2014-10-15,,
"r Patient,~en",patient (male),beteg (férfi/semleges),noun,2014-05-01,,
"e Patientin,~nen",patient (female),beteg (nő),noun,2014-05-01,,
"r Pelz,~e",fur,szőr (állat); szőrme,noun,2014-05-01,,
"r Pfad,~e",path,útvonal,noun,2014-10-06,,
"r Pfarrer,~",pastor (male),"lelkész, plébános",noun,2014-05-01,,
"e Pfarrerin,~nen",pastor (female),"lelkésznő, plébánosnő",noun,2014-05-01,,
"r Pfau,~en",peacock,páva,noun,2014-08-24,,
"e Pfeife,~n",whistle; pipe,síp; pipa,noun,2014-10-14,,
"r Pfeil,~e",arrow,nyíl,noun,2014-05-29,,
"e Pferdekutsche,~n","carriage, coach",lovaskocsi,noun,2014-05-01,,
"s Pflaster,~","band-aid, sticking plaster",sebtapasz,noun,2014-05-09,,
"s Pflicht,~en",duty,kötelesség,noun,2014-05-01,,
"r Pilz,~e",mushroom,gomba,noun,2014-05-01,,
"r PIN,~s",PIN,PIN,noun,2014-10-06,,
"r Pinsel,~n",brush,ecset,noun,2014-05-01,,
"r Pixel,~",pixel,pixel,noun,2014-10-06,,
"e Pizza,~s",pizza,pizza,noun,2014-10-15,,
"r Plan,⍨en",plan,terv,noun,2014-05-01,,
"r Platz,⍨e",place,"hely, ülőhely; tér (városé); piac",noun,2014-10-10,,
"r Pole,~n",Pole (male),lengyel (férfi),noun,2014-10-16,,
"s Polen,-",Poland,Lengyelország,noun,2014-10-16,,
"e Polin,~nen",Pole (female),lengyel (nő),noun,2014-10-16,,
"s Polnisch,~e",Polish,lengyel,noun,2014-10-16,,
"s Portugal,-",Portugal,Portugália,noun,2014-10-16,,
"r Portugiese,~n",Portuguese (male),portugál (férfi),noun,2014-10-16,,
"e Portugiesin,~nen",Portuguese (female),portugál (nő),noun,2014-10-16,,
"s Portugiesisch,~e",Portuguese,portugál,noun,2014-10-16,,
"e Programmiersprache,~n",programming language,programozási nyelv,noun,2014-10-06,,
"r Provider,~",provider,szolgáltató,noun,2014-10-06,,
"r Prozessor,~en",processor,processzor,noun,2014-10-06,,
"r Punkt,~e",point,"pont, pötty",noun,2014-10-08,,
"r Quellcode,~s",source code,forrás kód,noun,2014-10-06,,
"r Rand,⍨er",edge,szél (valami széle),noun,2014-05-01,,
"r Raser,~",speeder,gyorshajtó,noun,2014-05-01,,
"e Rasse,~n","race, breed","rassz, fajta",noun,2014-06-10,,
"e Rate,~n",rate,részlet (fizetés),noun,2014-05-01,,
"e Raubkopie,~n","private copy, bootleg",kalóz másolat,noun,2014-10-06,,
"s Raumschiff,~e",space ship,űrhajó,noun,2014-10-14,,
"r Rechner,~",computer; calculator,számítógép; számológép,noun,2014-10-06,,
"e Reihe,~n",row,sor,noun,2014-05-29,,
"e Reihenfolge,~n","order, sequence",sorrend,noun,2014-05-29,,
"e Reise,~n","trip, journey",utazás,noun,2014-05-01,,
"s Rennen,~",running; race (sport),futás; verseny (sport),noun,2014-05-01,,
"e Rente,~n",pension,nyugdíj,noun,2014-05-01,,
"r Rentner,~",pensioner,nyugdíjas,noun,2014-05-01,,
"e Rentnerin,~nen",pensioner,nyugdíjas,noun,2014-05-01,,
"s Republik Österreich,-",The Republic of Austria,Osztrák Köztársaság,noun,2014-10-16,,
"r Rest,~e",rest,maradék,noun,2014-05-01,,
"r Restmüll,-",hazardous waste,veszélyes hulladék,noun,2014-10-08,,
"e Rettung,~en",rescue,"mentés, megmentés",noun,2014-05-01,,
"e Reue,-","repentance; remorse, regret","bűntudat, megbánás",noun,2014-08-20,,
"e Richtung,~en",direction,irány,noun,2014-05-01,,
"r Ritter,~n",knight,lovag,noun,2014-05-01,,
"e Ritterburg,~en",knights' castle,lovagi vár,noun,2014-05-01,,
"e Rohrzange,~","plumber wrench, pipe wrench",franciakulcs,noun,2014-08-04,,
"e Rolle,~n",role,szerep,noun,2014-06-04,,
"r Router,~",router,router,noun,2014-10-06,,
"e Routine,~n",routine,rutin,noun,2014-05-01,,
"r Russe,~n",Russian (male),orosz (férfi),noun,2014-10-16,,
"e Russin,~nen",Russian (female),orosz (nő),noun,2014-10-16,,
"s Russisch,~e",Russian,orosz,noun,2014-10-16,,
"s Russland,-",Russia,Oroszország,noun,2014-10-16,,
"e Sache,~n",thing (anything),dolog,noun,2014-05-01,,
"r Sack,⍨e","bag, sack",szatyor,noun,2014-10-08,,
"r Satz,⍨e",set,szett,noun,2014-06-06,,
"e Sau,⍨e",sow,nőstény disznó,noun,2014-10-01,,
"r Säugling,~e",infant,csecsemő,noun,2014-08-20,,
e Säule,"pillar, column",oszlop,noun,2014-05-28,,
"r Scanner,~",scanner,szkenner,noun,2014-10-06,,
"s Schaf,~e",sheep,birka,noun,2014-10-15,,
"s Schaffleisch,-",mutton (the flesh of sheep used as food),birkahús,noun,2014-10-15,,
"s Schafott,~e",scaffold (for execution),"állvány, emelvény (kivégzéshez)",noun,2014-08-05,,
"e Schattenseite,~n",downside,rossz oldal,noun,2014-05-17,,
"r Schaum,⍨e",foam; head (beer),hab,noun,2014-05-01,,
"e Scheidung,~en",divorce,válás,noun,2014-10-06,,
"r Schiff,~e",ship,hajó,noun,2014-05-01,,
"s Schimpfwort,⍨e",vulgar word or expression,vulgáris szó v. kifejezés,noun,2014-08-06,,
"e Schlampe,~n",slut,ribanc,noun,2014-08-02,,
"e Schlange,~n",backstabber (female),kétszínű (nőre),noun,2014-08-24,,
"e Schließung,~en",closure,megnyugvás?,noun,2014-05-12,,
"r Schmied,~e",smith,kovács,noun,2014-08-10,,
"r Schornstein,~e",chimney,kémény,noun,2014-08-24,,
"r Schotte,~n",Scotsman,skót (férfi),noun,2014-10-16,,
"e Schottin,~nen",Scotswoman,skót (nő),noun,2014-10-16,,
"s Schottisch,~e",Scottish,skót,noun,2014-10-16,,
"s Schottland,-",Scotland,Skócia,noun,2014-10-16,,
"e Schraube,~n",screw,csavar,noun,2014-08-04,,
"r Schraubendreher,~",screwdriver,csavarhúzó,noun,2014-08-04,,
"r Schraubenschlüssel,~",wrench,villáskulcs,noun,2014-08-04,,
"r Schreibtisch,~e",desk,íróasztal,noun,2014-10-10,,
"r Schüchterne,~n",shy person,szégyenlős,noun,2014-08-31,,
"e Schuld,~en",debt; fault; guilt,"adósság; hiba; bűn, vétek",noun,2014-05-01,,
"e Schulheft,~e",school notebook,iskolai füzet,noun,2014-05-09,,
"r Schuss,⍨e",shut,feles; lövés,noun,2014-10-08,,
"r Schwachkopf,⍨e",moron,gyengeelméjű (kedves is lehet),noun,2014-10-15,,
"r Schwachsinn,-",nonsense; mental retardation (dated),hülyeség,noun,2014-05-01,,
"r Schwager,⍨",brother-in-law,sógor,noun,2014-10-11,,
"e Schwägerin,~nen",sister-in-law,sógornő,noun,2014-10-11,,
"e Schweiz,-",Switzerland,Svájc,noun,2014-10-16,,
"r Schweizer,~",Swiss (male),svájci (férfi),noun,2014-10-16,,
"e Schweizerin,~nen",Swiss (female),svájci (nő),noun,2014-10-16,,
"e Schwerigkeit,~en",difficulty,nehézség,noun,2014-10-09,,
"r Scrollbalken,~",scrollbar,scrollbar; csúszka (IT),noun,2014-10-06,,
"e Seife,~n",soap,szappan,noun,2014-05-01,,
"s Selbstvertrauen,-",self-confidence,önbizalom,noun,2014-06-06,,
"e Seltenheit,~en",rarity,ritkaság,noun,2014-05-01,,
"e Sendung,~en",program,tévéműsor,noun,2014-08-11,,
"r Serbe,~n",Serbian (male),szerb (férfi),noun,2014-10-16,,
"s Serbia,-",Serbia,Szerbia,noun,2014-10-16,,
"e Serbin,~nen",Serbian (female),szerb (nő),noun,2014-10-16,,
"s Serbisch,~e",Serbian,szerb,noun,2014-10-16,,
"r Server,~",server,szerver; kiszolgáló,noun,2014-10-06,,
"r Sieger,~","winner, victor","nyertes, győztes",noun,2014-05-01,,
"e Siegerin,~nen","winner, victor","nyertesnő, győztesnő",noun,2014-05-01,,
"e Signaltafel,~n",signal board,kijelzőtábla,noun,2014-05-01,,
"r Sirup,~s/~e",syrup,szirup,noun,2014-10-08,,
"r Slot,~s",slot,slot (IT),noun,2014-10-06,,
"r Slowake,~n",Slovakian (male),szlovák (férfi),noun,2014-10-16,,
"s Slowakei,-",Slovakia,Szlovákia,noun,2014-10-16,,
"e Slowakin,~nen",Slovakian (female),szlovák (nő),noun,2014-10-16,,
"s Slowakisch,~e",Slovakian,szlovák,noun,2014-10-16,,
"s Slowenien,-",Slovenia,Szlovénia,noun,2014-10-16,,
"r Slowenier,~",Slovenian (male),szlovén (férfi),noun,2014-10-16,,
"e Slowenierin,~nen",Slovenian (female),szlovén (nő),noun,2014-10-16,,
"s Slowenisch,~e",Slovenian,szlovén,noun,2014-10-16,,
"r Sondermüll,-",hazardous waste,veszélyes hulladék,noun,2014-10-08,,
"r Sorglose,~n",carefree person; careless person,"gondtalan, laza (személy); gondatlan (személy)",noun,2014-08-31,,
"s Spanien,-",Spain,Spanyolország,noun,2014-10-16,,
"r Spanier,~",Spaniard (male),spanyol (férfi),noun,2014-10-16,,
"e Spanierin,~nen",Spaniard (female),spanyol (nő),noun,2014-10-16,,
"s Spanisch,~e",Spanish,spanyol,noun,2014-10-16,,
"e Sparmaßnahme,~n",austerity measure (chiefly in the plural),megszoritó intézkedés,noun,2014-06-04,,
"r Speck,~e",bacon,szalonna (zsír),noun,2014-10-06,,
"r Speicherplatz,⍨e",slot,slot (IT),noun,2014-10-06,,
"r Sportler,~",sportsman,sportoló,noun,2014-06-10,,
"e Sportlerin,~nen",sportswoman,sportolónő,noun,2014-06-10,,
"e Sprachverwendung,~en",language skill(s),nyelvhasználat,noun,2014-09-23,,
"r Sprung,⍨e","jump, leap",ugrás,noun,2014-05-18,,
"e Staffel,~n","season (tv), squadron (military)",szezon (tv); század (kat); raj (kat),noun,2014-10-15,,
"r Stamm,⍨e","tribe, root, treetrunk",törzs,noun,2014-10-14,,
"r Stammbaum,⍨e",pedigree,családfa,noun,2014-09-10,,
"r Stand,⍨e",level,"állás, szint",noun,2014-09-23,,
"e Startbahn,~en","runway, airstrip",felszálló pálya,noun,2014-05-01,,
"e Startseite,~n",homepage,főoldal (IT),noun,2014-10-06,,
"r Stau,~s/~e",congestion ,torlódás,noun,2014-05-01,,
"s Staugefahr,~en",risk of congestion,torlódás veszély,noun,2014-05-01,,
"r Stein,~e",stone,kő,noun,2014-10-15,,
"e Stelle,~n","spot, place, position",hely,noun,2014-05-10,,
"r Stiefel,~",boot,csizma,noun,2014-05-24,,
"e Stiftung,~en",foundation,alapítvány,noun,2014-09-10,,
"e Stimmung,~en",feel,"hangulat (inkább emberé, eseményé)",noun,2014-07-14,,
"s Stipendium, Stipendien",scholarship ,ösztöndíj,noun,2014-05-01,,
"s Stofftier,~e",plush toy,plüssállat,noun,2014-05-01,,
"r Stoß,⍨e",hit,karambol,noun,2014-09-14,,
"s Streichholz,⍨er",match,gyufa,noun,2014-10-14,,
"r Streit,~e",dispute,vita,noun,2014-08-13,,
"r String,~s",string,"string (IT), karakterlánc",noun,2014-10-06,,
"r Strom,⍨e",electricity,áram,noun,2014-05-01,,
"e Strophe,~n","verse, stanza ",versszak,noun,2014-08-24,,
"e Stube,~n","living room (regional), parlour","nappali (tájszó), ",noun,2014-05-18,,
"e Stufe,~n",step,lépcsőfok,noun,2014-09-23,,
"r Süden,-",south,dél,noun,2014-05-01,,
"s Sushi,~s",sushi ,sushi,noun,2014-05-01,,
"e Tabelle,~n",spreadsheet,tabuláris dokumentum (pl. Excel fájl),noun,2014-10-06,,
"r Tag,~s",tag (IT),címke,noun,2014-10-06,,
"e TAN,~s",transaction security number,tranzakciós biztonsági szám,noun,2014-10-06,,
"e Tatsache,~n",fact,tény,noun,2014-05-01,,
"e Telefonleitung,~en",phone line,telefon kábel,noun,2014-10-06,,
"s Textfeld,~er",textfield,szöveges bevitelimező,noun,2014-10-06,,
"e Textverarbeitung,~en",text processing,szöveg feldolgozás,noun,2014-10-06,,
"r Tisch,~e",table,asztal,noun,2014-10-10,,
"e Titelseite,~n",homepage,főoldal (IT),noun,2014-10-06,,
"e Tonaufnahme,~n",audio recording,hangfelvétel,noun,2014-08-13,,
"r Traffic,-",traffic (IT),forgalom,noun,2014-10-06,,
"e Transaktionsnummer,~n",transaction security number,tranzakciós biztonsági szám,noun,2014-10-06,,
"e Treue,-",faithfulness,hűség,noun,2014-05-01,,
"r Trottel,~","dork, jerk, sucker, moron",idióta (kedves is lehet),noun,2014-10-15,,
"r Trubel,-","turmoil, turbulence, confusion",zűrzavar; forgatag,noun,2014-07-28,,
"r Tscheche,~n",Czech (male),cseh (férfi),noun,2014-10-16,,
"e Tschechien,-",Czech Republic,Csehország,noun,2014-10-16,,
"e Tschechin,~nen",Czech (female),cseh (nő),noun,2014-10-16,,
"s Tschechisch,~e",Czech,cseh,noun,2014-10-16,,
"r Türke,~n",Turk (male),török (férfi),noun,2014-10-16,,
"e Türkei,-",Turkey,Törökország,noun,2014-10-16,,
"e Türkin,~nen",Turk (female),török (nő),noun,2014-10-16,,
"s Türkisch,~e",Turkish,török,noun,2014-10-16,,
"r Turm,⍨e",tower,torony,noun,2014-05-01,,
"r Typ,~en",guy (colloquial),srác (informális),noun,2014-05-01,,
"e Überstunde,~n",overtime,túlóra,noun,2014-08-20,,
"e Überweisung,~en",transfer; money transfer; referral (from/to physician),utalás; beutalás; átutalás,noun,2014-05-12,,
"s Ukraine,-",Ukraine,Ukrajna,noun,2014-10-16,,
"r Ukrainer,~",Ukrainian (male),ukrán (férfi),noun,2014-10-16,,
"e Ukrainerin,~nen",Ukrainian (female),ukrán (nő),noun,2014-10-16,,
"s Ukrainisch,~e",Ukrainian,ukrán,noun,2014-10-16,,
"e Umgebung,~en",environment,környezet,noun,2014-08-08,,
"e Umgebung,~en",environment,környzet,noun,2014-08-31,,
"e Umleitung,~en",detour,"kerülő, kitérő",noun,2014-05-01,,
"r Umweg,~e",detour,"kerülő, kitérő",noun,2014-05-01,,
"e Umzugskiste,~n",carton,kartondoboz (költözéshez),noun,2014-05-01,,
"r Ungar,~n",Hungarian (male),magyar (férfi),noun,2014-10-16,,
"e Ungarin,~nen",Hungarian (female),magyar (nő),noun,2014-10-16,,
"s Ungarisch,~e",Hungarian,magyar,noun,2014-10-16,,
"s Ungarn,-",Hungary,Magyarország,noun,2014-10-16,,
"e Unhöflichkeit,~en","rudeness, discourtesy, impoliteness, discourteousness",illetlenség,noun,2014-08-20,,
"r Unsinn,-",silliness,marhaság; megfontolatlanság; értelmetlenség,noun,2014-10-15,,
"e Unterkunft,⍨e",accommodation,szállás,noun,2014-07-14,,
"r Unterschied,~e",difference,különbség,noun,2014-05-01,,
"e URL,~s",URL,URL,noun,2014-10-06,,
"r US-Amerikaner,~",American (male),amerikai (férfi),noun,2014-10-16,,
"e US-Amerikanerin,~nen",American (female),amerikai (nő),noun,2014-10-16,,
"e USA,- (pl)",USA,USA,noun,2014-10-16,,
"r Validator,~en",validator,validator; ellenőrző (IT),noun,2014-10-06,,
"e Verabredung,~en",appointment,találkozó,noun,2014-05-01,,
"e Verb,~en",verb,ige,noun,2014-08-11,,
"e Vereinigten Staaten von Amerika,- (pl)",The United States of America,Amerikai Egyesült Államok,noun,2014-10-16,,
"s Verfallsdatum, Verfallsdaten",expiration date,lejárati idő,noun,2014-05-29,,
"s Verhalten,~",behaviour,viselkedés,noun,2014-10-01,,
"e Verhandlung,~en",negotiation,tárgyalás,noun,2014-09-23,,
"e Verletzung,~en","injury, violation","sérülés, sérelem, sértés",noun,2014-08-20,,
"e Verpackung,~en",packaging,csomagolás,noun,2014-10-08,,
"e Version,~en",version,verzió,noun,2014-10-06,,
"r Vertrauter,~",confidant,bizalmas,noun,2014-08-20,,
"e Verwandte,~n/~","relative, family member",rokon,noun,2014-10-11,,
"e Verwendung,~en",use (function or purpose for which sth may be employed),alkalmazás,noun,2014-05-29,,
"r Vogel,~n",bird,madár,noun,2014-05-01,,
"e Volke,~n",cloud,felhő,noun,2014-05-01,,
"e Volksrepublik China,-",The People's Republic of China,Kínai Népköztársaság,noun,2014-10-16,,
"r Vorgänger,~",predecessor,előd,noun,2014-05-01,,
"e Vorgängerin,~nen",predecessor,előd,noun,2014-05-01,,
"e Vorlesung,~en","lecture, reading","felolvasás, előadás (egyetemi)",noun,2014-10-06,,
"r Vorschlag,⍨e","suggestion, proposal",javaslat,noun,2014-05-24,,
"r Vorteil,~e",advantage; benefit,előny,noun,2014-08-24,,
"r Wahnsinn,-","insanity, madness; (colloquial) awesome!, man!, wicked!",őrület,noun,2014-05-09,,
"r Waldmeister,-",(sweet) woodruff,szagos müge,noun,2014-10-08,,
"e Wanne,~n",tub,kád,noun,2014-05-01,,
"e Warnung,~en",warning,figyelmeztetés,noun,2014-05-09,,
"e Webcam,~s",webcam,webkamera,noun,2014-10-06,,
"e Website,~s",website,"website, webszájt, weboldal",noun,2014-10-06,,
"r Wecker,~",alarm clock,vekker,noun,2014-10-11,,
"r Wedge,~s",wedges,wedges,noun,2014-05-01,,
"s Weltall,-","space, universe","űr, univerzum",noun,2014-10-14,,
"r Wert,~e",worth; value,érték,noun,2014-05-01,,
"r Westen,-",west,nyugat,noun,2014-05-01,,
"r Wettbewerb,~e","competition, contest",verseny,noun,2014-05-01,,
"e Wette,~n",bet,fogadás (sport),noun,2014-05-01,,
"r Wissenstand,⍨e",knowledge level,tudásszint,noun,2014-09-23,,
"r Wissenswert,~e",worth knowing,tudniérdemes,noun,2014-05-01,,
"e Wurst,⍨e",sausage ,kolbász,noun,2014-05-01,,
"e Wurzel,~n",root; square root,gyökér; négyzetgyök,noun,2014-06-06,,
"e Wut,-","fury, rage",düh,noun,2014-09-15,,
"r Zähler,~",counter,"counter, számoló (IT)",noun,2014-10-06,,
"e Zange,~n","plier, pincer, tongs",fogó; kiszedő,noun,2014-08-04,,
"r Zaun,⍨e",fence,kerítés,noun,2014-08-13,,
"s Zeichen,~",sign,jel,noun,2014-06-06,,
"r Zeichensatz,⍨e",character set; font,karakterkészlet; font,noun,2014-10-06,,
"r Zeiger,~",pointer,pointer (IT),noun,2014-10-06,,
"e Zeit,~en",time,idő,noun,2014-10-09,,
"e Zeitverschiebung,~en","time difference, time offset",idő/időzóna különbség,noun,2014-09-01,,
"e Zentrale,~n",station,állomás,noun,2014-05-10,,
"e Zeremonie,~n",ceremony,ceremónia,noun,2014-08-31,,
"s Ziel,~e","goal, target, aim",cél,noun,2014-07-06,,
"r Zorn,-","anger, wrath",harag; erős düh,noun,2014-09-15,,
"r Zug,~e",train,vonat,noun,2014-10-10,,
"e Zusammenfassung,~en",conclusion,összefoglalás,noun,2014-08-11,,
"r Zusammenstoß,⍨e","collision, crash",karambol,noun,2014-09-14,,
"r Zustand,⍨e",state,állapot,noun,2014-05-01,,
"r Zwang,⍨e",coercion,"kényszer, késztetés",noun,2014-05-01,,
"r Zweck,~e","purpose, intention",cél,noun,2014-08-24,,
"e Zweischenzeit,~en",meanwhile,mialatt,noun,2014-10-09,,
"r Zwischenspeicher,~",cache; buffer,"cache, gyorsítótár; buffer, átmeneti tár",noun,2014-10-06,,
um-,,"meg-, el-, körül-",prefix,2014-05-07,,
vor-,,"előre-, ",prefix,2014-05-07,,
weg-,,el-,prefix,2014-05-07,,
wider-,,vissza-; ellen-,prefix,2014-05-07,,
zer-,,szét-,prefix,2014-05-07,,
zu-,,"be-, le-; ide-, oda-",prefix,2014-05-07,,
zurück-,,vissza-,prefix,2014-05-07,,
zusammen-,,"össze-, együtt-",prefix,2014-05-07,,
zwischen-,,közé-,prefix,2014-05-07,,
draußen,outside,kint,prep,2014-08-13,,
drinnen,inside,bent,prep,2014-08-13,,
innerhalb,inside of,belül,prep,2014-09-23,,
mittels + (G),by (indicates a means),valami által,prep,2014-05-01,,
während + (G),"during, while; at the time of",amíg; amikor,prep,2014-05-05,,
also,"so, thus",tehát,pron,2014-07-14,,
solche,such,"ilyen, olyan",pron,2014-06-10,,
"s -, -, geschieht, -, -, -, -, -, geschieht, -, -, -, geschehen","to occur, to happen (formal)",történni (formal),verb,2014-07-24,,
"h abbeissen, abbissen, abgebissen",to bite off,leharapni,verb,2014-05-24,,
h abbestellen,to cancel,lemondani,verb,2014-05-05,,
"h abbringen, abbrachten, abgebracht",to dissuade (sb from sth),lebeszélni (vkit vmiről),verb,2014-05-07,,
h abbuchen,to debit,levonni,verb,2014-05-01,,
h abdrehen,"to turn down, to lower; to turn","letekerni; irányt váltani, fordulni",verb,2014-05-07,,
"s abfahren, abfuhren, abgefahren, abfährst, abfährt","to depart, to drove off",elindulni (közlekedés),verb,2014-05-01,,
